review,rating,date,bank,source
It gave me a headache. bad bad bad,1,2026-05-18,Abbysinia Bank,Google Play
bankn abstract fayida,5,2026-05-18,Abbysinia Bank,Google Play
Tilku,5,2026-05-18,Abbysinia Bank,Google Play
the transaction is not working???? fix it,1,2026-05-18,Abbysinia Bank,Google Play
sometimes The App Is not goibg through,3,2026-05-17,Abbysinia Bank,Google Play
"The worst app, also bank am begging for my own money",1,2026-05-16,Abbysinia Bank,Google Play
was Good 🙏,5,2026-05-16,Abbysinia Bank,Google Play
cool,5,2026-05-15,Abbysinia Bank,Google Play
Its Good,5,2026-05-15,Abbysinia Bank,Google Play
good,5,2026-05-14,Abbysinia Bank,Google Play
it's very good app,5,2026-05-12,Abbysinia Bank,Google Play
this app is good but the speed of app is very slow,2,2026-05-11,Abbysinia Bank,Google Play
good,5,2026-05-09,Abbysinia Bank,Google Play
boa the best,5,2026-05-08,Abbysinia Bank,Google Play
bank of absiniya is best bank in ethiopian,5,2026-05-07,Abbysinia Bank,Google Play
አስተማማኝና ዘመኑን የዋጀ,4,2026-05-05,Abbysinia Bank,Google Play
good,5,2026-05-04,Abbysinia Bank,Google Play
extremely slow app and unreliable for most payment i have stuggled to much with this,2,2026-05-03,Abbysinia Bank,Google Play
Amazing app,5,2026-05-02,Abbysinia Bank,Google Play
"I tried to oppen mobile app of BOA, but it can't work on my phone after activation. I can't login to it. the staffs tried their best and asked me the android version which is 16 and clear the catches, reinstall the app but the same restult × close the app. disappointing",1,2026-05-01,Abbysinia Bank,Google Play
nice app 👍👍👍,5,2026-04-29,Abbysinia Bank,Google Play
easy to understand,4,2026-04-28,Abbysinia Bank,Google Play
best,5,2026-04-27,Abbysinia Bank,Google Play
a wonderful Bank success app in Ethiopia 🇪🇹,5,2026-04-25,Abbysinia Bank,Google Play
nice,5,2026-04-24,Abbysinia Bank,Google Play
there's an error in app i don't ever know what's the case,1,2026-04-24,Abbysinia Bank,Google Play
BoA always❤,5,2026-04-24,Abbysinia Bank,Google Play
the worst app,1,2026-04-24,Abbysinia Bank,Google Play
what an amazing service,5,2026-04-23,Abbysinia Bank,Google Play
abezash,5,2026-04-23,Abbysinia Bank,Google Play
😁😁ል,4,2026-04-23,Abbysinia Bank,Google Play
Not working,4,2026-04-22,Abbysinia Bank,Google Play
best,5,2026-04-22,Abbysinia Bank,Google Play
nice,5,2026-04-21,Abbysinia Bank,Google Play
everything new that other banks started abyssinia started it but this one year have been a disaster the mobile banking crashes everytime please do what you do best,1,2026-04-20,Abbysinia Bank,Google Play
"the best applcation,, how can winning byd car 😭🤣🤣",5,2026-04-20,Abbysinia Bank,Google Play
good,5,2026-04-19,Abbysinia Bank,Google Play
"the app does not show my account balance correctly compared to what I get with the SMS notification. Again and again I am not able to make transfers because the app has issues. The app has over years now frequently problems, doesn't load, or is sometimes not working entirely and I can not open it. Even to the point that I question the rating of this app if it's true or distorted. I am not sure how it can be 4 stars something, when in real life the app just doesn't work a lot of the time.",1,2026-04-19,Abbysinia Bank,Google Play
excellent service,5,2026-04-18,Abbysinia Bank,Google Play
it very slow to access the app when urgent,1,2026-04-17,Abbysinia Bank,Google Play
very Good app,4,2026-04-16,Abbysinia Bank,Google Play
best i ethiopia,5,2026-04-16,Abbysinia Bank,Google Play
when i try to see my balance the app logs me out.i try to uninstall the app and install it when i try to login again it says login expired.the worest mobile banking in ethiopia. fix it,1,2026-04-15,Abbysinia Bank,Google Play
good,5,2026-04-15,Abbysinia Bank,Google Play
like,5,2026-04-14,Abbysinia Bank,Google Play
Why transfer to telebirr agent doesn't work?,3,2026-04-14,Abbysinia Bank,Google Play
best 👌 app in entire industry,5,2026-04-14,Abbysinia Bank,Google Play
besst app,5,2026-04-14,Abbysinia Bank,Google Play
good 👍,5,2026-04-13,Abbysinia Bank,Google Play
this app is not use my pbone android 16 and not fix boa nearest branch how to use this app,1,2026-04-11,Abbysinia Bank,Google Play
ksanet hayle,5,2026-04-11,Abbysinia Bank,Google Play
"disappointing experience .couldn't even do transactions ,so slow .you should check and update it please",1,2026-04-09,Abbysinia Bank,Google Play
poor functional and also very interactive customer service at branch,1,2026-04-09,Abbysinia Bank,Google Play
low networks,4,2026-04-08,Abbysinia Bank,Google Play
Fast& Modern,5,2026-04-08,Abbysinia Bank,Google Play
very nice service appreciated 👍,5,2026-04-07,Abbysinia Bank,Google Play
it's not working always says error occured,1,2026-04-06,Abbysinia Bank,Google Play
good,5,2026-04-06,Abbysinia Bank,Google Play
fast and reliable app,5,2026-04-02,Abbysinia Bank,Google Play
good,1,2026-04-02,Abbysinia Bank,Google Play
እረተውኝ,5,2026-04-01,Abbysinia Bank,Google Play
good,1,2026-04-01,Abbysinia Bank,Google Play
its good,5,2026-04-01,Abbysinia Bank,Google Play
